Book,Blurb,Author
"Robinson Crusoe
(රොබින්සන් කෲසෝ)",වසර 28ක කාලයක් පාලු දූපතක තනිව ගත කළ මිනිසකු වටා ගෙතී තිබේ. මුහුද මැද දී අනතුරට ලක් වන නෞකාවෙන් ජීවිතය ගළවා ගන්නේ ඔහු පමණි. සයුරෙහි පිහිනා ඔහු පැමිණෙන්නේ මේ දූපතටය. ඔහුට තනියට සිටින්නේ අහම්බෙන් හමුවන බල්ලකු පමණි. එක් අවස්ථාවකදි ඔහු මිනී කන්නන්ගේ ප්‍රහාරයකට ද ලක් වෙයි. මෙය සත්‍ය කතාවක් යැයි බොහෝ පාඨකයන් සිතුවත් එය එසේ නොවන බව පැවසේ. කෙසේ නමුත් මේ කතාව සඳහා පාදක වී ඇත්තේ අනතුරකට පත් වූ නෞකාවකින් දිවි බේරාගෙන වසර හතරක් දූපතක තනිවී සිටි ස්කොට් ජාතිකයකු වූ ඇලෙක්සැන්ඩර් සෙල්ක්ර්ක්ගේ කතාව බව ඇතැම්හු පවසති.,Daniel Defoe / ලක්ෂ්මන් කහටපිටිය
THE TEMPLE TIGER AND MORE MAN EATERS OF KUMAON (දෙවොලේ ව්‍යාඝ්‍රයා),"මිනී කන ව්‍යාඝ්‍රයින් හඹා යාමේදී අත් විඳීමට සිදුවන ත්‍රාස ජනක අත් දැකීම් ද, නේපාලයත් ඉන්දියාවත් වෙන් කරන බටහිර  මායිම වන කාලි සහ සර්ධා ගංගා ආශ්‍රිත ප්‍රදේශයේ අලංකාර දර්ශන, දඩයම් සහ මසුන් බෑමේ චාරිකා පිළිබඳ විස්තර ද, කඳුකර අහිංසක නූගත් වැසියන් ගේ ඇදහිලි සහ විශ්වාස මෙන්ම තර්කානුකූලව පැහැදිලි කළ නොහැකි විශ්මිත සංසිද්ධීන් ද පාඨකයාගේ සිත් ඇදගන්නා නවතාවයකින් යුක්තව ඉදිරිපත් කරයි.",Jim Corbett
Veronika Decides to Die (වෙරෝනිකා මැරෙන්න තීරණේ කරයි),"සාමාන්‍යයෙන් ගැහැනියක අපේක්ෂා කරන සෑම දෙයක් ම පාහේ වෙරොනිකා සතු බව පෙනේ. ඈ තරුණ ය, රූමත් ය. කඩවසම් පෙම්වතුන්ගෙන් ද අඩුවක් නැත. නැටුම් ගැයුම් ආදියට ප්‍රිය ය. ස්ථිර රැකියාවක් ද ඇත. එහෙත්, ඈ තුළ සතුට නැත. ජීවිතයේ කිසියම් දෙයක අඩුවක් ඈට දැනේ. 1997 නොවැම්බර් 11 වැනි දා ඈ සියදිවි නසාගන්නට තීරණය කරන්නී ය. නිදි පෙති අධික ප්‍රමාණයක් පානය කරන ඈ මියයාම වෙනුවට පිස්සන් කොටුවක දී සිහිය ලබයි. තවම ජීවතුන් අතර සිටිය ද ඈ පානය කළ බෙහෙත් සැරට මොළය සදාකාලික අවදානමකට ලක් වී ඇත. එහි ප්‍රතිඵලයක් වශයෙන් ජීවිතය තව දවස් කිහිපයකට පමණක් සීමා වී ඇති බව වෛද්‍ය විශේෂඥවරු ඈට පෙන්නා දෙති.",Paulo Coeiho / ගාමිණී වියන්ගොඩ
Nine man-eaters and one rogue (මිනී කන්නෝ සහ වියරු අලියෙක්),"උපතින් ස්කොට්ලන්ත ජාතිකයකු වූ කෙනත් ඇන්ඩර්සන්, පදිංචිය සඳහා තෝරා ගත්තේ ඉන්දියාවය. ඔහුගේ රැකියාව සහ වනාන්තරයට, වන සතුන්ට සහ වන වාසීන්ට ඔහුගේ තිබූ ආසාවත්, ආදරයත් එයට හේතු විය. ඔහු දඩ කෙළියේ ගියේය. විනයාණුකූලව සහ නීත්‍යානුකූලව දඩයම් කළේය. දඩයමට ඔහුගේ තිබූ දක්ෂතාව නිසාත්, ඉන්දියානු වන වාසීන් අතර ඔහු දිනා ගෙන තිබූ හොඳ හිත නිසාත්, මිනී මස් රසට හුරු වූ ව්‍යාග්‍රයන්, දිවියන් මරා දැමීමේ කාර්යයන් ආණ්ඩුවෙන් ඔහුට පැවරුණු අවස්ථා බොහෝය. ඒ දඩයම්වලදී ඔහු නිවැරදි මිනී කන්නන් සොයා දඩයම් කිරීමට දැරූ වෙහෙස අපමණය. විඳි අසීරුතා බොහෝය. ඔහු ඒ ලැබූ අත්දැකීම් පෙළ ගස්වන්නේ හරියට සිතුවමක් අඳින සිත්තරකු ආකාරයටය. ඉන්දියානු වන සතුන්ගේත්, වන වාසීන්ගේත් ගති පැවතුම්, හුරු පුරුදු, චරිත ලක්ෂණ ඔහු උකහා ගෙන ඇත්තේ සැබෑ මානව විද්‍යාඥයකු ලෙසිනි.",Kenneth Anderson
"Under Western Eyes
(ද සාක්ෂියක අදෝනාව
","මෙම කෘතිය ස්විස්ටර්ලන්තයේ සහ රුසියාවේ විප්ලවවාදීන් පිළිබඳ කතාන්දරයකි. අශුභවාදී දෙගිඩියාවේ ගූඪ සෙවණැල්ල  මෙකී කෘතිය පුරා ම පැතිරී ඇත. එයට හේතුවී ඇත්තේ, 1911 රුසියාවේ දේශපාලනික පසුතලය යටතින් දිවෙන මනෝවිද්‍යාත්මක පක්ෂය ගවේෂණය කිරීම ය. කතා තේමාව ඔස්සේ මුණගැසෙන කාල්පනික විප්ලවවාදීන්, කුමණ්ත්‍රණකරුවන්, රහස් ඔත්තුකරුවන්, මෙන් ම රාජ්‍ය නිලධාරීන්ගේ චරිත ස්වාභාවයන් කෙතරම් ප්‍රබල ද යත්, රුසියානු විප්ලව සමයේ මෙම කෘතිය අතිශය ජනප්‍රියවීම ඊට නිදසුනකි.",Joseph Conrad / ගාමිණී වියන්ගොඩ
To Have and to Lose  (ලැබීම නොලැබීම),"මෙම කෙටි නවකතාව මගින්, චින්ගීස් අයිත්මාතොව් නමැති කිර්ගීස් ජාතික කීර්තිමත් කතුවරයා, පාඨකයා කැඳවාගෙන යන්නේ, ලෝකයේ පියස්ස වන 'පාමීර් තුන්ග' වෙතය. ඔහු පාඨකයාට මුණගස්වන්නේ, ගමක්, ගෙයක් දොරක්, මවක පියකු නෑයකු නැති තරුණ ලොරි රියදුරෙකි. ඔහුගේ ජීවිතයේ ඉරණම වෙනස් කරන අසෙල්, සමත්, බයිටෙමිර්, කදිවා ආදී කොට ඇති සාහිත්‍ය ලෝකයේදී මීට පෙර අපට හමු නොවුණු චරිත පෙළකි. ඔවුන් සියලු දෙනාගේම කතාන්තරය පසුබිමෙහි ඇත්තේ, කෝටි සංඛ්‍යාත මිනිස් කැලක් කුරිරු ලෙස බිලිගත් දෙවැනි ලෝක මහා සංග්‍රාමයයි.",Chingiz Aitmatov / ඩබ්.ඒ. අබේසිංහ
මායා,"""මායා"" පුනර්භව සංකල්පය මත පදනම් වූවක් නොවේ. එමඟින් සංකේතවත් වූයේ මායාව ය.කතුවරියගේ අවධානය යොමු වී ඇත්තේ පුනර්භවය කෙරෙහි නොව, මානව සම්බන්ධතා, මවකගේ සෙනෙහස, පැවතිය යුතු සාමාන්‍ය සංහිඳියාවට කිසියම් අසාමාන්‍ය තත්ත්වයක් මඟින් බාධා පමුණුවන විට මතුවන්නා වූ බිය, සැකය, සහ දොම්නසෙහි අන්තර් ක්‍රියාකාරීත්වය කෙරෙහි ය. මෙම තත්ත්වය පිළිගන්නා ඇතැම් අයගේත්, ප්‍රතික්ෂේප කරන සෙස්සන්ගේත් ප්‍රතික්‍රියාවල සමාන කම් හා වෙනස්කම් ද ""මායා"" හි ප්‍රකාශිතය.",මානෙල් අභයරත්න
The Dead Alive (නොමළ මරණය),"ස්නායු කම්පනයකට පත් තරුණ නීතිඥයෙකු විවේකය පතා එංගලන්තයේ සිට ඇමෙරිකාවේ පදිංචි තම ඥාතියෙකුගේ නිවස වෙත යයි. එහිදී සිදු වූ අදහාගත නොහැකි අබිරහස් මරණයක් නිසා ඔහුගේ සනීපයත්, විවේකයත්, ඥාති පිරිසත් අහිමි කර ගනී. එහෙත් ඔහු සිය රට බලා ආපසු පැමිණෙන්නේ එක් අපේක්ෂාවක් පමණක් මල් ඵල ගන්වමිනි.",Wilkie Collins / ආතර් ප්‍රනාන්දු
"So What Happens to Me

","අපරාධයක හවුල් කරුවන් ලෙස ඔවුන් ගැලපීමක් නැති කණ්ඩායමක් වූහ. 'පෑම්', ඉතා ප්‍රබල ලිංගික ආශාවන් ඇති ගුවන් සේවිකාවකි.ඇය රූමත්ය, දැඩිය, එමෙන්ම දූෂිතය. 'බර්නි', වියට්නාම යුද සමයේ බෝම්බ දමන ගුවන් යානයක හිටපු ගුවන් නියමුවෙකි. ඔහු පෑම්ට මහත් ආදරයකින් සලකයි. එහෙත් ශාරීරික දුර්වලතාවයක් නිසා ඇයට ආදරය කිරීමට නොහැකිව මානසිකව බිඳ වැටෙයි.'හැරී', බර්නිගේ සහකාර ගුවන් නියමුවාය. ඔහු තරුණය, මුරණ්ඩුය, ඔහුගේ සම්පූර්ණ ප්‍රාණවත් භාවය ඇද නොගත් සටන්කාමියෙකි. 'ක්ලව්ඩ්', ලාභදායක කලා ප්‍රදර්ශන ශාලාවක්ද, මුහුදු වෙරලේ ලොකුම හොර බඩු ජාවාරමක්ද පවත්වාගෙන යයි. 'ජැක් ක්රේන්', ගුවන් යානය පැහැර ගැනීම ක්‍රියාවට නැංවීම සඳහා සියල්ල අවසානයට කැඳවා ගත් අයෙකි. මෙම වැඩපිළිවෙල මෙහෙයවිමට සිටින ව්ශිෂ්ට බුද්ධියක් ඇති එකම පුද්ගලයා තමා බව ඔහු විශ්වාස කරයි. අනිකුත් හත්ර දෙනා ආධුනිකයෝ වූහ. නමුත් ජැක් සම්පූර්ණයෙන්ම ඔවුන්ට පක්ෂව ක්‍රියා කළේ නැත. ඔහු සිතුවේ තමන් ගැනමය.",James Hadley Chase / නිමල් දිසානායක
"Life & Times of Michael K

(මයිකල් කේ ගේ කලදවස)","මේ මිහිතලය මත වෙසෙන සමස්ත අන්ත අසරණ පීඩිත පන්තියම නියෝජනය කරන, නව ප්‍රබන්ධවල එන චරිත අතුරින් වඩාත්ම අහිංසකයා මෙහි එන මයිකල් කේ විය හැකි ය. ඔහු මෙලොව එළිය දකින්නේ තාත්තා යයි අමතන්නට කෙනෙක් නොමැතිව ය. විරූපී වුවත් ඔහුට සිටින එකම ඥාතියා හා මිතුරිය, පෙරළා ඔහුට සෙනෙහසක් දක්වන්නේ ද කියා අප සිතේ සැකයක් ඇති කරන සිය මව ම පමණි. ලොව ඕනෑම රටක් තුළ ඇතිවන අරගලවල දී විශේෂයෙන් ම ජනවාර්ගික අර්බුදවල දී සහ ඒ නිසා ඇතිවන යුද්ධවල දී වැඩිපුරම පීඩාවට පත් වන්නේ පහළම සමාජ ස්ථරවලට අයත් පුද්ගලයින් ය. මෙහි එන්නේ මයිකල් කේ එබඳු අත්දැකීමකට මුහුණදෙන අයුරු ය. මයිකල් කේ තුළ ඇත්තේ රටේ පවත්නා ජනවාර්ගික යුද්ධයට සහ ඒ නිසා ඇතිවන මිලිටරිමය පාලනයට අවිඥානික විරෝධයකි. හමුදාමය නීතිර්තිවලට යටත් වී සිටින විට ඔහුට ආහාර අරුචි ය. එනයින් ඔහු ස්වයංඝාතනයක යෙදෙන්නේ ද?",J. M. Coetzee / එස්. නන්දලාල්
"The Craftsman

(මායා කවය)",වසර කිහිපයකට පෙර ළමා මිනීමැරුම් දාමයකට වරදකරු වූ 'ලැට් ග්ලාබ්රූක්ව' අත්අඩංගුවට ගැනීම 'ෆ්ලොරන්ස්' ගේ වෘත්තිමය දිවියේ හැරවුම් ලක්‍ෂය විය. භයානක සිහිනයකදී සිදුවන්නාක් මෙන් ලැරී තම ගොදුර වළ දමා තිබුනේ පණපිටින්මය. ලැරී තම වරද පාපොච්චාරණය කළ අතර ඔහුට නිසි දඩුවම් හිමි විය. එහෙත් වසර 30 කට පසු ලැර්ගේ මරණයත් සමඟම අතීත සිදුවීම් නැවතත් සිදුවන්නට පටන් ගනියි. කව්රුන් හෝ ලැරිගේ මිනීමරුම් ප්‍රතිනිර්මාණය කිරිමට පටන් ගෙනද? නැත්නම් ෆ්ලොරන්ස් එදා හිරභාරයට ගත්තේ සැබෑ මිනීමරුවා නොවේද ? එසේත් නැතිනම් කිසිවෙකුත් නොදන්නා අඳුරු රහසක් එහි සැඟවී තිබේ ද? ලැරීගේ අවමංග්‍යයට පසුදා අභිරහස් ලෙස අතුරුදහන් වන තම දරුවා බේරා ගැනීමට කෙනෙහිලිකම් හා හදිහුනියම් පිරුණු සමාජය හා සටන් වැදීමට ඈට හැකියාව තිබේද ?,Sharon Bolton / රුශේනි මානිංගමුව
"A Hermit in the Himalayas
(හිමාලයේ විස්මිත සුදු තවුසා)","ආධ්‍යාත්මික ගවේෂක පෝල් බ්‍රන්ටන් මේ කෘතියෙන් විස්තර කරන්නේ ඉකුත් ශත වර්ෂයේ තුන්වැනි දශකය ආරම්භයේ දී පමණ තම අවසන් චාරිකාව වූ කෛලාස කූඨ වන්දනාවට තිබ්බත රජය අවසර නොදීම නිසා ඔහු හිමාලයේ උස් කඳු මුදුනක පිහිටි පාළු කැලෑ බංගලාවකට වී බවුන් වැඩීමේ දී ලද අසාමාන්‍ය අත්දැකීම් හා පසුව එහි සිට ප්‍රතාප්නගර් දක්වා වග වලසුන් ගහණ මහ වනය හරහා තරු එළියෙන් අසු මෙහෙයවමින් හුදකලාව නුහුරු පටු මංපෙත් ඔස්සේ දල බෑවුම්, ගිරි දුර්ග පසු කරමින් සිදු කළ අති බිහිසුණු ගමන හා ඉනික්ඛිතව ලද විස්මිත අත්දැකීම් ආදියයි. ඔහුට ස්වාමි ප්‍රාණවානන් ද කාශ්මීරය ඔස්සේ කෙදර්නාත්, බද්‍රිනාත් හා ගංගෝත්‍රී හරහා ගොස් සැතපුම් පනහක් වූ අනවතප්ත විල හා සැතපුම් එකොළහක් වූ කෛලාස කූඨ ප්‍රදක්ෂිණාව සිදු කිරීමේ විස්තරයත්, නේපාල කුමරුගේ සිරුරට ඇතුළු වීමට ආ කෲර භූතයාගෙන් හා තමා ඝාතනයට හඹා ආ අලියකුගෙන් ගැලවුණු ආකාරයත්, තමා අඳුන් දිවියකුගෙන් ගැලවුණු ආකාරයත් විස්තර කරන බ්‍රන්ටන් පවසන්නේ ආධ්‍යාත්මික ගවේෂණයට මග තම ඇතුළාන්ත නිශ්ශබ්දතාව සොයා යාම බවය. ",Paul Brunton / තිලක කුඩාහෙට්ටි
Close Encounters of the Third Kind (තරුවක් පොළොවට),"අමෙරිකාවේ ඉන්දියානා ප්‍රාන්තයේ විශාල ප්‍රදේශයක, හදිසියේ එක් රැයක විදුලිය සැපයීම බිඳ වැටුණි. ඒ රැයේ ඝන අඳුරු අහස හරහා දීප්තිමත් ආලෝක වළලු තුනක් ඇදී ගියේ ය. වරෙක පොළොවට ඉතා සමීප ව ගමන් ගත් ඒවායෙන් පැමිණියේ පිටසක්වල ජීවීන් ද? එම ජීවීන් එක්තරා නිශ්චිත ස්ථානයක දී තමන් හමුවට පැමිණෙන ලෙස සමහර අයට ඇරැයුම් කර තිබුණේ අමුතුම ආකාරයකට ය. 'යක්ෂයාගේ කුලුන' යනුවෙන් හැඳින්වුණ ශේෂ කන්ද අසලට ඇරැයුම් ලද තැනැත්තෝ පැමිණියහ. ",Steven Spielberg / කුමාර සිරිවර්ධන
The Jungle Hunters (දඩයක්කාරයෝ),"අඳුරු අප්‍රිකානු මහාද්වීපයේ කොංගෝ මහා හිමයේ, පිග්මි ගෝත්‍රිකයින් සමඟ එක දිගට මාස ගණනාවක් ජීවත් වෙමින් ලද අත්දැකීම් පසුබිම් කර ගත් අනුවේදනීය කතාන්දරයයි.",Jorgen Bisch
විස්මලන්තයේ ඇලිස්,මෙහි ඇතුළත් වනුයේ මහාචාර්යවරයා විසින් සිය ළදරු මිතුරියන්ගෙන් කිහිප දෙනකු පිනවනු සඳහා කියන ලද කතාවෙකි. ක්‍රිස්තු දේව සභාවේ ඩීන් තුමාගේ දියණිය වූ ඇලිස් ද ඔවුන්ගෙන් කෙනෙක් වූවා ය. ,Charles Lutwidge Dodgson
The Wolfen (වුල්ෆන්),වුල්ෆනයන් හෙවත් වියර්වුල්ෆයන් මේ අද්විතිය භීෂණ පුවතෙහි තේමාවයි. ඔවුහු මෑන්හැට්න් නගරයෙහි ම රැළ ගණනින් ජීවත්වෙති.සාමාන්‍යයෙන් ඔවුන් ගොදුරු කරගන්නේ සොයන්නට බලන්නට කිසිවකු නැති මහලු අසරන මිනිසුන් ය. තරුණ පොලිස් භටයන් දෙදෙනෙකු අඥාන ලෙස ඝාතනය කැරුණු විට ජෝර්ජ් විල්සන් සහ බෙකි නෙෆ් යන රහස් පරීක්ෂකයන් ඒ රාජකාරිය සඳහා යොදවනු ලැබේ. එහෙත් නොබෝ කලකින් ම වුල්ෆනයෝ රහස් පරීක්ෂකයන් දෙ දෙන දඩයම් කිරීම අරඹති. වුල්ෆනයන් යනු වෘකයන් බවට පරිවර්තනය වුණු මිනිසුන් නොවේ. ඔවුහු එහෙම පිටින් ම වෙනස් සත්ත්ව විශේෂයක් වෙති. බොහෝ දුරටම මිනිසා ගේ මුහුණ වැනි මුහුණු ද අත් වැනි ගාත්‍රා ද ආඝ්‍රාණයේ සහ ශ්‍රවනයේ පුදුමාකාර බලයෙහි ප්‍රතිඵලයක් වූ අධිමානුෂික බුද්ධි මහිමයන් ද ඔවුනට ඇත.,Whitley Strieber / 	උපාලි කන්නන්ගර
The Eleventh Commandment (පලායන්නා),"කොනර් ෆිටිජ්ජෙරල්ඩ් ඔහුගේ සමකාලීනයන් විසින් සලකනු ලබන්නේ ගුරුන්ගේත් ගුරෙකු වශයෙනි. සී අයි ඒ සංවිධානයේ වඩාත්ම මාරක අවිය වශයෙනි. පවුල් ජීවිතයට ලැදි පුද්ගලයෙකු වන ඔහු විසි අට වසරක් පුරා ද්විත්ව චරිතයක් රඟපායි. නමුත්, විශ්‍රාම යාමට කෙටි කාලයක් තිබියදී, ඔහුට හමුවන්නේ මේ වනතුරු මුහුණ නොදුන් අන්දමේ භයානක සතුරෙකි. ඒ අන් කවරෙකු හෝ නොව ඔහුගේ ම ප්‍රධානියාය. ඇගේ එකම අරමුණ ඔහු විනාශ කිරීමය. මේ අතර ඇමරිකා එක්සත් ජනපදය දරුණු අර්බුදයකට මුහුණ දෙයි. නව රුසියානු ජනාධිපතිවරයා සුපිරි බලවතුන් දෙදෙනා අතර හමුදා ගැටුමකට මග පෑදීමට අරඅඳියි. ධවල මන්දිරය, සී අයි ඒ සංවිධානය සහ රුසියානු මාෆියා කල්ලි මැදි කොටගත් මෙම කතාන්දරය, ත්‍රාසෝත්පාදී නවකතා රචනයේ නිම් වළලු පුළුල් කොට ඇති බව ද මහා බ්‍රිතාන්‍යයේ නොම්මර එකේ කතාන්දර කියන්නා පාඨකයා නිරන්තරව පිටු පෙරලීවීමට පොළඹවා ඇති බව ද මොනවට කියාපායි.",Jeffrey Archer / පූජිත කරුණාරත්න
Pride And Prejudice (ප්‍රේමයක අරුමය),තරුණයා තම ගති සිරිත් වෙනස් කර ගනියි. තරුණිය තම සිතැඟි වෙනස් කර ගනියි. සාර්ථක විවාහයක් - සමාජ චර්යාවන්ට අනුව කර ගැනීමේ කාර්යයට මේ නිර්මාණයේදී අවධානය යොමු කර ඇත. එසේ වුව මෙය බොළඳ ප්‍රේම කතාවක් නම් නොවේ. ජේන් ඕස්ටින් මේ නවකතාව ලියූ කාලයේ නැපෝලියන් අධිරාජයා යුරෝපා දේශය නව දැක්මක් කරා වෙනස් කරමින් සිටියේය. ,Jane Austen
Solves the Case of the Negligent Nymph (නොසැළකිලිමත් යුවතිය),"තරුණියක් වෙරළාසන්නයේ පිහිනා යන ආකාරය පෙර් මේම්සන් දියඹෙහි ඔරුවක සිටිමින් නිර්ක්ෂණය කළේ ය. ඒ මොහොතේ දූපතෙහි පිහිටි මන්දිරයේ රාත්‍රී භෝජන සංග්‍රහයක් පැවැත්වෙමින් තිබිණ. තරුණිය ජලය කාන්දු නොවන බෑගයක දමා ගෙන ආ ඇඳුම් වෙරළේ සිට ඇඳ ගත්තා ය. ඉන්පසු ඇය කිසි චකිතයක් නැතිව එම නිවසට ගොස් විනාඩි කිහිපයකට පසු ආපසු දුව ආවේ එහි සිටි මිනිසුන් තමා ලුහු බැඳ ආ බැවිනි. ඇය දියට පැන පෙර් මේසන් සිටි ඔරුව වෙත පිහිනා ආවේ තමා බේරාගන්නා ලෙස අයැදිමිනි.තරුණිය නිරුපද්‍රිතව ගොඩබිමට ගෙන ආ නීතිඥ පෙර් මේසන්, ඉන් අනතුරුව පැන නැගෙන ඇගේ අතොරක් නැති බරපතළ ප්‍රශ්නවලට මුහුණ දෙන්නේ කෙසේද ?",Erle Stanley Gardner / ආතර් ප්‍රනාන්දු
It Rained All Night (ගෙවෙන තුරා  රැය මහ වැසි ඇද හැලුණි),"මධ්‍යම පංතික බෙංගාලි යුවතියක, ඇයගේ විවාහක සැමියා වන පොතේගුරුවාදී ආචාර්යවරයකු මෙන්ම ඔවුන්ගේ පවුලේ මිත්‍රයකු වටා රචිත මේ නවකතාව අසභ්‍ය තේමාවක්‍ සේ සලකා 1967 වසරේ පළමු වරට පළ වූ අවස්ථාවේ දී ඉන්දියාව තුළ තහනම් කරන ලද්දකි. එහෙත් තහනම ඉවත් කළ පසුව එය වැඩිම අලෙවියක් සහිත කෘතියක් බවට නිතැතින්ම පත්විය. ආදරය ඊර්ෂ්‍යාව, අනුරාගය, පවුල් දිවිය කෙරෙ හෙළනු ලබන සම්ප්‍රදායික බැල්ම මෙන්ම පති භක්තිය සහ එහි සීමා බිඳිමින් ඇතිවන ආලය යනා දී විවිධ අංශ සාකච්ඡාවට ලක් කෙරෙන මේ කෘතිය බෙංගාලි සාහිත්‍යයේ මහඟු සලකුණකි.","Buddhadeva Bose
 / චූලානන්ද සමරනායක "
A Search in Secret Egypt (ඊජිප්තු අභිරහස්),"මධ්‍යම රාත්‍රීන් හි පවා ඉපැරණි දේවස්ථාන තුළත් නටබුන් අතරත් සැරිසරමින් මළවුන්ගේ මිටියාවතේ අඩු තුන්හාරසියයක් පොළොව යට තද ගලෙහි තනන ලද පාළු සොහොන් ගැබ් තුළත්, නයිල් ගඟ, කාන්තාරය හා ප්‍රපාතාකාර ගිරි දුර්ග පසු කරමින් ඊජිප්තුවේ සංචාරය කොට බ්‍රන්ටන් මෙහි සපයා ඇති කරුණු ද විශ්මයජනකය. විෂඝෝර නාගයින්, පොළඟුන් වාසය කරන බෙන තුළට අත දමා දළ නොකඩා මන්ත්‍ර බලයෙන් බෙල්ල වඩා ඔතා ගන්නා ෂීක් මවුසා ඵල් හාවිත්, සුපිරි අධි මානසික බලයකින් යුත් 'රා-මැක්-හොටෙප් නිපුනයා' මීට වසර දසදහසකට පෙරාතුව භූගත කරන ලද නිපුන සන්නාසීන් අදත් ජීවමාන ව වාසය කරන බව පැවසෙන ප්‍රකාශය ද ඇතුළත්ය.",Paul Brunton / තිලක කුඩාහෙට්ටි
The Legend of Bruce Lee,"ඔහු කළේ කුමක් වුව ද, කීවේකුමක් වුව ද ප්‍රසිද්ධියේ හෝ පුද්ගලික ව කළේ කුමන රඟපෑමක් වුව ද ඔහුට සම කිරීමට හැකි අන් කිසිවකු නැතුවාක් පමණක් නො ව, ඔහු ගේ තැන ගැනීමට කිසිවකු බිහි නොවනු ද ඇත.වරප්‍රසාද ලත් කිහිප දෙනෙකු ගේ ප්‍රාණ භුක්තියට යටත් වී තිබූ ශ්‍රේෂ්ඨ පැරණි සම්ප්‍රදායානුකූල ශිල්පයක් තම විශිෂ්ට කැපවීම සහ ප්‍රගුණ කිරීම තුළින් බෲස් ලී සමස්ත ලෝකයාට ලබා දුන්නේ ය.අනන්ත අප්‍රමාණ වූ අධිෂ්ඨානයත්, ඒ මත ස්ථාපිත වූ කාය ශක්තියත්, නොසංසිඳුන ආශාවත් නිසා කීර්තියටත්, විර ප්‍රසිද්ධියටත් පත් ඒ තරුණයාගේ ජීවිත කතාව මෙසේ ලෝකයා ඉදිරියේ තැබේ.",අභය හේවාවසම්
One part Women (අර්ධ නාරි),"යාගහෝම, පුදපූජා මතුනොව දිවි පරදුවට තබා කරන වත්පිළිවෙත් හෝ නානාවිධ අරිෂ්ට වර්ග පානය කිරීමේ සිට වන්දනා ගමන් දක්වා දිවෙන කිසිදු ක්‍රියාවකින් හෝ කාලි සහ පොන්නා දරුවකු බිහිකර ගැන්මට දරන අසීමිත ප්‍රයත්නයන් කිසිවක් මල්ඵල නොදරයි. දෙදෙනා ආදරණීය වූත් තෘප්තිමත් වූත් කුටුම්බගත ජීවිතයක් ගතකළද ඔවුන් වටා සිටින මිනිසුන්ගේ ඍජු සහ වක්‍ර ගැරහුම් ඔවුන් පසුපස අතොරක් නැතිව ලුහුබැඳ එයි. අවසානයේ ඔවුන්ගේ සියලු බලාපොරොත්තු සහ සැක සංකා අර්ධස්ත්‍රී අර්ධනාර්ශ්වර දෙවියන් පසුබිම් කරගත් රථ උත්සවය හා බැඳි සම්ප්‍රදායයන් කෙරෙහි අභිසරණය වෙයි. නීති ලිහිල් වී ඕනෑම මිනිසකු සහ ගැහැනියක අතර ස්වකැමැත්තෙන් සිදුවන කායික එක්වීම් අනුමත කෙරෙන එකම එක රැයක් ඔවුන්ගේ ඉරණම තීන්දු කරනු ඇත. දෙදෙනාගේ සියලු දුක්පීඩා, අවමන් දුරු කරලීමට මේ රැයට හැකිය. නමුත් ඒ රැයම ඔවුන්ගේ විවාහය නමැති බන්ධනයේ අග්නි පරීක්‍ෂාවද වනු ඇත. රමණීය, කාව්‍යාත්මක සේම තියුණු බසින් ලියැවුණු මෙම නවකතාව සමාජ සම්මතයන් සහ පුද්ගලානුබද්ධ සිතිවිලි හා අපේක්‍ෂාවන් අතර සිරවුණු සබැඳියාවක් සුපැහැදිලි ලෙස විවරණය කරයි. 'අර්ධනාර්' වූ කලී විවාහය, ප්‍රේමය සහ ලිංගිකත්වය පිළිබඳ දිග හැරුණු අව්‍යාජ රූ සිත්තමකි.",කුෂාන් ද සිල්වා / Perumal Murugan
Origin (සම්භවය),අප පැමිණියේ කොතැනක සිට ද ? අප යන්නේ කොතැනකට ද ? ආදියේ පටන් මානවයා නැඟූ ප්‍රශ්න ද්වය යළිත් ලෝකය ඉදිරියට ගෙන ආවේ එඩ්මන්ඩ් කියර්ෂ් ය. ඒවාට පිළිතුරු සැපයීමට කියෂ් සූදානම් ව සිටි නමුත් ඊට පෙර ඔහු ඝාතනය කෙරිණි. මහාචාර්ය රොබට් ලැන්ග්ඩින් ස්පාඤ්ඤයේ අනාගත රැජන අම්බා සමගින් එක් වූයේ කියර්ෂ් ගේ පිළිතුරු ජනගත කරනු සඳහා ය. කියර්ෂ් නිහඬ කළ අයට ඒ දෙදෙනා ද නිහඬ කරවීමට හැකි වෙයි ද?,Dan Brown / කුමාර සිරිවර්ධන
